id;sexo;edad;deses16;deses17;deses18;deses19;satis16;satis19
306;1;47;1;NA;NA;1;5;5
307;2;88;2;2;4;5;2;3
308;2;43;4;5;4;4;4;4
309;2;42;2;2;2;1;3;3
310;2;32;2;1;2;1;4;4
311;2;59;2;2;4;3;2;4
312;2;57;2;2;3;4;4;4
313;2;28;1;NA;NA;NA;5;NA
314;1;53;1;NA;1;NA;3;4
315;2;49;2;NA;2;2;4;3
316;2;50;1;NA;NA;NA;4;NA
317;2;26;5;NA;NA;NA;2;NA
318;1;54;1;1;1;2;4;4
319;1;41;2;NA;NA;NA;4;NA
320;1;44;2;1;1;1;4;4
321;2;73;2;4;NA;NA;5;NA
322;2;46;2;2;2;2;4;5
323;2;39;2;2;2;3;3;4
324;2;44;2;2;4;2;3;3
325;2;64;2;2;2;2;3;3
326;2;41;2;2;2;3;4;4
327;2;45;2;NA;NA;NA;5;NA
328;2;32;1;3;2;2;4;4
329;2;35;1;2;2;2;4;4
330;2;39;2;NA;NA;NA;4;NA
331;2;36;2;1;1;2;4;5
332;2;33;1;2;NA;NA;4;NA
333;2;28;2;1;2;2;4;4
334;1;51;2;2;2;2;4;4
335;2;38;3;1;3;2;4;3
336;1;57;1;2;3;1;5;4
337;1;22;1;NA;1;NA;4;NA
338;2;20;2;1;2;2;4;4
339;2;36;5;3;4;3;3;3
340;1;51;1;2;2;2;3;3
341;2;72;2;2;3;3;5;4
342;2;36;1;NA;4;2;2;4
343;2;59;2;2;NA;NA;4;NA
344;2;25;2;NA;NA;NA;1;NA
345;1;55;2;1;1;NA;4;NA
346;2;54;3;5;2;2;5;2
347;2;38;1;NA;NA;2;5;4
348;1;27;1;NA;NA;NA;5;NA
349;2;53;1;3;4;4;5;4
350;2;25;3;1;3;2;5;4
351;2;63;1;2;2;2;4;4
352;2;44;2;4;2;1;3;2
353;1;49;1;2;2;NA;3;NA
354;2;36;2;2;2;3;4;2
355;2;59;2;1;2;2;3;4
356;2;40;2;3;2;1;3;4
357;2;42;2;NA;NA;NA;4;NA
358;2;43;2;2;2;NA;4;NA
359;2;45;2;4;3;3;4;4
360;2;54;2;2;2;2;4;5
361;2;65;2;1;NA;NA;2;NA
362;1;21;4;2;3;3;2;2
363;1;69;2;1;1;2;4;3
364;2;48;1;1;1;NA;5;NA
365;1;42;1;NA;NA;NA;4;NA
366;1;35;1;1;1;1;5;3
367;1;47;2;4;NA;NA;3;NA
368;1;49;1;2;2;2;4;4
369;2;55;1;1;2;4;4;3
370;2;65;2;4;1;NA;4;NA
371;2;35;1;1;1;2;4;3
372;2;74;1;1;1;2;4;4
373;1;63;2;4;1;1;4;4
374;1;33;1;1;1;1;4;4
375;1;42;1;1;1;2;4;4
376;2;75;1;NA;NA;NA;4;NA
377;2;48;2;2;1;2;2;3
378;2;55;2;NA;NA;NA;2;NA
379;2;27;1;2;1;1;4;5
380;2;57;1;2;1;1;5;4
381;1;25;2;2;NA;1;4;4
382;1;34;2;2;4;5;3;1
383;1;26;1;NA;NA;NA;5;NA
384;1;33;1;1;1;2;4;4
385;2;54;2;2;1;2;4;4
386;2;26;1;NA;NA;NA;5;NA
387;2;41;1;2;1;NA;5;NA
388;2;27;2;1;2;2;4;4
389;1;68;1;NA;NA;NA;2;NA
390;2;43;1;NA;NA;4;4;4
391;1;43;2;NA;NA;NA;4;NA
392;1;30;1;NA;2;2;5;3
393;1;31;1;NA;NA;NA;5;NA
394;2;53;1;1;2;2;5;4
395;2;56;1;1;3;2;5;5
396;1;75;5;1;NA;NA;4;NA
397;2;33;2;2;2;NA;1;NA
398;1;61;2;1;1;2;4;3
399;1;63;2;1;2;2;4;4
400;2;56;1;NA;1;NA;4;NA
401;1;63;1;NA;2;1;4;4
402;2;74;1;1;2;1;4;4
403;1;70;1;1;2;1;4;5
404;2;35;2;2;2;2;3;4
405;2;73;1;1;2;1;2;2
406;1;57;2;1;2;2;5;4
407;2;53;1;1;2;1;4;3
408;2;37;3;1;1;1;4;4
409;2;66;1;4;2;2;4;4
410;2;36;2;2;2;1;3;3
411;1;33;1;NA;1;2;4;3
412;2;67;1;1;1;1;4;4
413;1;18;5;4;4;2;3;4
414;2;62;5;NA;NA;2;4;4
415;1;55;1;NA;NA;NA;3;NA
416;1;22;1;2;1;1;3;2
417;2;59;1;1;1;1;4;4
418;1;57;1;1;2;NA;5;NA
419;2;49;2;5;4;4;2;2
420;1;51;2;1;2;2;4;4
421;2;47;1;1;1;1;4;3
422;2;30;1;1;4;1;4;4
423;1;57;2;2;2;2;2;3
424;2;34;2;2;2;1;4;4
425;2;66;5;4;2;2;1;2
426;1;43;1;NA;NA;NA;4;NA
427;2;47;1;NA;NA;NA;4;NA
428;2;69;2;NA;2;NA;4;NA
429;1;72;1;1;NA;NA;4;NA
430;2;61;1;1;2;2;5;4
431;2;46;1;1;1;NA;4;NA
432;1;20;1;2;2;2;4;4
433;2;41;2;2;1;NA;1;NA
434;2;50;2;3;5;NA;2;NA
435;1;22;1;1;1;1;4;3
436;1;23;2;1;1;NA;5;NA
437;1;30;1;1;2;NA;4;NA
438;1;41;1;1;1;NA;4;NA
439;2;19;2;2;2;2;5;3
440;1;24;2;1;NA;NA;4;NA
441;2;24;1;1;1;2;3;4
442;2;25;1;2;2;2;4;2
443;1;52;2;2;2;2;4;4
444;1;35;2;1;1;NA;3;NA
445;1;58;1;1;1;NA;5;NA
446;2;70;4;2;2;4;4;3
447;2;25;2;1;2;2;3;4
448;1;46;1;2;3;2;2;3
449;2;29;2;1;1;5;2;5
450;2;34;2;2;1;1;2;3
451;1;64;1;1;1;1;4;5
452;1;57;4;2;1;1;5;5
453;2;69;2;3;5;1;2;3
454;2;37;2;3;2;2;3;2
455;2;26;1;1;1;1;4;3
456;2;46;1;NA;NA;NA;5;NA
457;2;65;2;NA;NA;NA;4;NA
458;2;32;1;2;2;1;4;5
459;2;28;2;NA;NA;NA;4;NA
460;2;41;1;2;2;4;4;1
461;2;22;2;1;2;2;5;5
462;2;34;1;1;1;1;4;4
463;2;35;2;2;2;1;2;4
464;2;18;1;1;3;2;4;2
465;2;57;4;2;2;NA;4;NA
466;1;54;1;1;2;1;5;5
467;2;75;2;NA;NA;NA;1;NA
