      400387       2    3.33    2.75    2.50    1.33    2.00    2.75    1.00    2.25    2.00    3.25    2.33    3.25
      400389       1    2.00    2.25    2.25    1.33    1.67    2.25   99.00   99.00    2.33    2.50   99.00   99.00
      400391       2    1.33    2.75    3.75    1.67    1.00    3.00    1.00    2.50    1.00    2.50    1.00    2.00
      400394       1    3.33    2.75    1.75    2.67    3.33    2.50    3.00    3.00    3.00    2.50    3.00    3.00
      400395       1    2.67    3.50    3.25    2.00    2.67    2.75    2.00    2.50    2.67    3.00    2.33    2.50
      400396       1    1.00    1.00    1.75    1.67   99.00   99.00   99.00   99.00    1.00    1.00    1.00    1.25
      400397       2    1.67    2.25    2.00    2.67    2.67    2.25    2.67    2.75    2.00    2.00    2.33    2.75
      400398       2    1.00    3.00    2.75    2.33    1.33    3.00    2.33    2.75    1.00    2.75    1.67    3.00
      400399       2    1.00    2.50    1.75    2.33    1.67    2.00    3.00    1.75    1.00    1.50    2.33    1.50
      400400       1    2.33    2.25    2.00    1.00    1.00    2.00    1.33    1.50    1.00    1.50    1.00    2.00
      400401       1    1.33    1.75    2.75    1.00    1.67    3.00    1.00    1.75    1.33    1.00    1.33    2.00
