ID;nece1;nece7;nece13;nece19;nece1_2;nece7_2;nece13_2;nece19_2;nece1_3;nece7_3;nece13_3;nece19_3
994;4;4;4;3;-99;-99;-99;-99;4;4;3;4
995;5;5;3;3;5;5;5;4;4;5;5;5
996;3;3;3;2;3;4;4;4;5;3;3;4
997;5;4;4;4;5;5;5;5;5;5;5;5
998;3;3;3;4;-99;4;4;4;5;4;3;3
999;3;2;2;3;5;3;5;4;2;3;4;4
1000;5;4;4;2;4;4;5;3;5;5;5;5
1001;3;4;3;4;5;5;5;4;5;5;5;5
1002;3;5;5;4;4;2;3;3;3;3;3;4
1003;5;5;5;4;4;3;3;3;4;3;3;3
1004;4;4;5;3;5;4;4;5;5;4;5;5
1005;5;2;5;3;5;5;5;5;5;5;5;5
1006;4;5;4;4;5;3;5;5;5;5;5;5
1007;4;5;5;5;5;5;5;-99;4;5;5;5
1008;5;5;5;1;4;4;5;4;3;4;4;3
1009;3;-99;3;3;4;3;3;5;1;1;1;1
1010;5;4;4;5;5;5;3;5;5;1;5;3
1011;3;3;3;3;3;5;5;5;5;1;5;5
1012;3;5;5;1;3;3;3;3;3;3;3;3
1013;5;5;5;3;5;5;5;4;5;4;3;4
1014;4;3;3;4;-99;-99;-99;-99;3;5;5;5
1015;3;3;3;3;5;5;5;5;5;5;5;5
1016;-99;-99;-99;-99;3;2;3;4;3;3;3;3
1017;4;3;5;3;-99;-99;-99;-99;5;5;5;5
1018;-99;-99;-99;-99;4;5;4;4;3;3;4;3
1019;5;4;5;5;-99;-99;-99;-99;5;5;5;5
1020;5;5;4;5;5;5;5;5;5;3;3;4
1021;3;3;5;4;-99;-99;-99;-99;5;5;5;5
1022;4;4;4;4;5;5;5;5;5;5;5;5
1023;3;3;4;3;5;3;3;3;4;2;4;4
1024;-99;-99;-99;-99;3;5;5;4;4;4;4;3
1025;2;4;3;3;3;4;4;4;4;5;5;5
1026;5;3;5;5;2;3;2;4;3;4;2;3
1027;5;4;5;5;5;1;4;5;1;3;5;5
1028;5;4;5;5;5;5;3;5;5;5;5;5
1029;-99;-99;-99;-99;-99;-99;-99;-99;5;5;5;4
1030;4;4;4;4;3;3;2;4;3;3;-99;3
1031;4;4;3;1;4;4;4;4;4;4;4;4
1032;4;4;4;5;4;5;5;5;4;5;4;5
1033;4;3;3;3;3;5;4;4;4;4;5;4
1034;-99;-99;-99;-99;5;5;5;5;5;5;5;4
1035;4;4;4;4;5;5;5;5;5;5;5;5
1036;5;5;5;5;5;5;4;5;4;5;5;4
1037;5;5;5;5;5;5;5;4;1;1;1;3
1038;5;5;5;5;4;5;4;4;2;2;4;3
1039;3;4;3;3;5;5;5;5;5;5;5;5
1040;5;5;3;1;5;3;4;4;4;3;4;4
1041;3;4;4;4;5;5;5;5;5;4;5;5
1042;4;3;5;1;4;5;4;4;3;4;4;4
1043;-99;-99;-99;-99;3;3;1;3;3;3;3;3
1044;4;3;5;2;-99;-99;-99;-99;5;4;4;4
1045;3;4;4;3;5;3;2;4;5;3;4;5
1046;3;1;1;1;4;4;4;3;4;3;4;3
1047;4;3;3;2;3;2;2;1;3;3;2;3
1048;3;3;3;3;4;4;5;5;5;5;5;5
1049;4;4;3;3;5;5;5;5;5;5;4;-99
1050;4;3;4;3;-99;-99;-99;-99;5;5;5;5
1051;-99;-99;-99;-99;-99;-99;-99;-99;3;3;3;4
1052;5;4;4;3;5;5;5;5;3;3;4;3
1053;-99;-99;-99;-99;-99;-99;-99;-99;5;4;4;5
1054;5;5;5;5;4;5;5;4;4;5;5;5
1055;4;-99;4;4;-99;-99;-99;-99;5;5;5;5
1056;4;3;3;3;4;3;4;4;4;4;4;4
1057;4;3;-99;2;5;5;5;5;5;1;5;5
1058;5;3;4;4;5;5;5;5;5;5;5;5
1059;4;3;3;3;4;4;4;4;5;4;4;4
1060;3;4;3;4;4;4;4;5;4;4;4;4
1061;3;3;4;-99;-99;-99;-99;-99;5;4;4;4
1062;3;2;3;3;3;4;4;4;3;4;5;4
1063;5;4;4;4;5;3;3;5;4;4;3;4
1064;5;5;5;5;3;3;3;3;3;3;3;2
1065;4;3;4;5;5;5;5;5;5;2;3;5
1066;4;4;4;4;3;4;3;3;3;3;5;5
1067;4;3;3;3;3;5;5;3;3;3;1;5
1068;-99;-99;-99;-99;2;3;2;3;3;4;4;4
1069;5;3;5;1;5;5;5;5;5;5;5;5
1070;4;4;3;2;5;5;5;5;5;5;5;5
1071;5;5;5;3;5;4;4;4;5;4;5;5
1072;4;3;4;5;3;3;3;3;4;4;5;3
1073;5;5;5;5;5;5;5;5;5;5;5;5
1074;-99;-99;-99;-99;-99;-99;-99;-99;5;5;4;5
1075;5;5;5;5;-99;-99;-99;-99;5;5;5;5
1076;3;5;5;4;-99;-99;-99;-99;5;4;5;4
1077;4;4;4;4;1;3;3;1;1;3;3;3
1078;5;5;5;5;3;4;4;4;4;4;4;4
1079;5;4;3;5;4;4;4;4;4;3;3;4
1080;5;4;5;5;5;5;4;5;-99;-99;-99;-99
1081;5;5;5;5;5;5;5;5;5;3;5;5
1082;2;3;3;3;4;5;5;5;4;-99;5;-99
1083;5;5;5;5;4;3;3;4;3;2;2;3
1084;2;4;3;4;3;1;3;3;2;1;3;2
1085;4;3;3;3;3;3;3;3;4;2;2;2
1086;5;5;5;5;1;2;3;3;1;1;1;5
1087;4;3;3;4;5;3;4;3;5;5;4;5
1088;4;5;5;5;5;3;5;4;5;4;5;4
1089;3;2;3;3;-99;-99;-99;-99;4;4;4;4
1090;5;4;4;4;5;5;5;5;4;5;5;3
1091;4;4;4;5;3;3;3;2;5;5;4;3
1092;3;1;1;1;4;4;3;3;5;5;5;4
1093;4;4;3;-99;3;5;3;3;3;3;5;5
1094;4;5;4;4;5;3;4;2;5;3;4;3
1095;-99;-99;-99;-99;5;5;5;3;5;5;5;1
1096;-99;-99;-99;-99;5;5;5;5;3;1;1;3
1097;3;3;4;3;-99;-99;-99;-99;-99;-99;-99;-99
1098;5;5;5;5;5;4;4;4;-99;-99;-99;-99
1099;5;5;4;3;4;4;4;4;-99;-99;-99;-99
1100;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
1101;5;4;4;3;-99;-99;-99;-99;-99;-99;-99;-99
1102;4;4;3;3;-99;-99;-99;-99;-99;-99;-99;-99
1103;5;4;4;4;-99;-99;-99;-99;-99;-99;-99;-99
1104;4;5;4;3;-99;-99;-99;-99;-99;-99;-99;-99
1105;5;4;5;3;-99;-99;-99;-99;-99;-99;-99;-99
1106;-99;-99;-99;-99;5;5;5;5;-99;-99;-99;-99
1107;4;5;5;3;-99;-99;-99;-99;-99;-99;-99;-99
1108;-99;-99;-99;-99;4;4;5;5;-99;-99;-99;-99
1109;3;4;5;5;4;4;4;4;-99;-99;-99;-99
1110;5;5;5;5;3;3;3;4;-99;-99;-99;-99
1111;5;5;5;4;-99;-99;-99;-99;-99;-99;-99;-99
1112;5;5;5;5;4;3;4;3;-99;-99;-99;-99
1113;2;2;3;3;5;5;5;5;-99;-99;-99;-99
1114;5;5;5;2;3;4;4;3;-99;-99;-99;-99
1115;4;1;4;3;-99;-99;-99;-99;-99;-99;-99;-99
1116;-99;-99;-99;-99;4;4;3;4;-99;-99;-99;-99
1117;-99;-99;-99;-99;3;5;4;5;-99;-99;-99;-99
1118;-99;-99;-99;-99;4;5;5;5;-99;-99;-99;-99
1119;-99;-99;-99;-99;5;5;5;5;-99;-99;-99;-99
1120;3;3;4;4;-99;-99;-99;-99;-99;-99;-99;-99
1121;4;5;3;3;-99;-99;-99;-99;-99;-99;-99;-99
1122;5;5;5;5;3;3;3;3;-99;-99;-99;-99
1123;4;4;3;3;-99;-99;-99;-99;-99;-99;-99;-99
1124;5;3;4;5;-99;-99;-99;-99;-99;-99;-99;-99
1125;2;3;2;3;-99;-99;-99;-99;-99;-99;-99;-99
1126;5;3;5;4;2;3;3;3;-99;-99;-99;-99
1127;5;4;5;5;4;3;3;4;-99;-99;-99;-99
1128;4;3;4;5;-99;-99;-99;-99;-99;-99;-99;-99
1129;5;4;4;5;4;3;4;3;-99;-99;-99;-99
1130;5;3;4;2;-99;-99;-99;-99;-99;-99;-99;-99
1131;4;5;4;4;-99;-99;-99;-99;-99;-99;-99;-99
1132;4;5;4;5;-99;-99;-99;-99;-99;-99;-99;-99
1133;-99;-99;-99;-99;4;4;3;3;-99;-99;-99;-99
1134;4;4;5;3;5;3;5;5;-99;-99;-99;-99
1135;4;5;5;4;4;4;4;4;-99;-99;-99;-99
1136;4;3;3;5;-99;-99;-99;-99;-99;-99;-99;-99
1137;-99;-99;-99;-99;4;4;3;2;-99;-99;-99;-99
1138;-99;-99;-99;-99;5;5;5;5;-99;-99;-99;-99
1139;4;4;3;5;-99;-99;-99;-99;-99;-99;-99;-99
1140;5;4;4;4;-99;-99;-99;-99;-99;-99;-99;-99
1141;5;5;4;5;-99;-99;-99;-99;-99;-99;-99;-99
1142;4;4;4;5;-99;-99;-99;-99;-99;-99;-99;-99
1143;4;3;3;3;-99;-99;-99;-99;-99;-99;-99;-99
1144;3;2;3;3;-99;-99;-99;-99;-99;-99;-99;-99
1145;-99;-99;-99;-99;5;5;5;5;-99;-99;-99;-99
1146;-99;-99;-99;-99;3;3;3;4;-99;-99;-99;-99
1147;4;3;3;3;-99;-99;-99;-99;-99;-99;-99;-99
1148;5;5;5;4;4;3;3;3;-99;-99;-99;-99
1149;4;3;3;4;-99;-99;-99;-99;-99;-99;-99;-99
1150;1;4;3;4;3;3;3;3;-99;-99;-99;-99
1151;5;5;5;5;-99;-99;-99;-99;-99;-99;-99;-99
1152;-99;-99;-99;-99;5;4;5;5;-99;-99;-99;-99
1153;-99;-99;-99;-99;4;5;3;2;-99;-99;-99;-99
1154;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
1155;5;5;5;5;2;3;3;3;-99;-99;-99;-99
1156;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
1157;2;3;2;3;-99;-99;-99;-99;-99;-99;-99;-99
1158;4;3;5;4;-99;-99;-99;-99;-99;-99;-99;-99
1159;5;5;4;5;-99;-99;-99;-99;-99;-99;-99;-99
1160;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
1161;5;4;5;5;-99;-99;-99;-99;-99;-99;-99;-99
1162;-99;-99;-99;-99;3;3;3;3;-99;-99;-99;-99
1163;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
1164;4;4;4;5;-99;-99;-99;-99;-99;-99;-99;-99
1165;3;3;3;5;4;4;4;2;-99;-99;-99;-99
1166;4;4;3;5;-99;-99;-99;-99;-99;-99;-99;-99
1167;-99;-99;-99;-99;5;4;5;5;-99;-99;-99;-99
1168;3;3;4;4;4;4;4;4;-99;-99;-99;-99
1169;4;3;3;3;-99;-99;-99;-99;-99;-99;-99;-99
1170;5;5;5;5;-99;-99;-99;-99;-99;-99;-99;-99
1171;5;5;5;5;5;4;5;5;-99;-99;-99;-99
1172;3;4;5;4;-99;-99;-99;-99;-99;-99;-99;-99
1173;3;2;3;1;5;5;5;4;-99;-99;-99;-99
1174;4;3;5;5;-99;-99;-99;-99;-99;-99;-99;-99
1175;5;5;3;4;5;3;5;3;-99;-99;-99;-99
1176;4;4;4;4;5;4;4;5;-99;-99;-99;-99
1177;5;5;4;5;5;5;4;5;-99;-99;-99;-99
1178;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
1179;4;4;5;3;5;3;3;3;-99;-99;-99;-99
1180;-99;-99;-99;-99;5;5;5;4;-99;-99;-99;-99
1181;3;5;4;3;-99;-99;-99;-99;-99;-99;-99;-99
1182;-99;-99;-99;-99;3;2;3;3;-99;-99;-99;-99
1183;5;5;5;5;4;4;2;3;-99;-99;-99;-99
1184;5;5;4;4;-99;-99;-99;-99;-99;-99;-99;-99
1185;4;3;4;3;3;4;3;2;-99;-99;-99;-99
1186;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
1187;5;3;3;3;-99;-99;-99;-99;-99;-99;-99;-99
1188;-99;-99;-99;-99;5;5;5;5;-99;-99;-99;-99
1189;3;5;4;2;-99;-99;-99;-99;-99;-99;-99;-99
1190;5;5;5;3;-99;-99;-99;-99;-99;-99;-99;-99
1191;2;2;2;3;5;5;4;4;-99;-99;-99;-99
1192;5;3;4;5;4;4;4;1;-99;-99;-99;-99
1193;4;5;5;4;-99;-99;-99;-99;-99;-99;-99;-99
1194;5;5;5;5;-99;-99;-99;-99;-99;-99;-99;-99
1195;4;5;4;5;-99;-99;-99;-99;-99;-99;-99;-99
1196;4;4;3;5;5;4;5;4;-99;-99;-99;-99
1197;4;4;4;3;-99;-99;-99;-99;-99;-99;-99;-99
1198;5;5;5;5;5;5;5;5;-99;-99;-99;-99
1199;-99;-99;-99;-99;2;5;3;3;-99;-99;-99;-99
1200;3;4;4;5;-99;-99;-99;-99;-99;-99;-99;-99
1201;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
1202;5;4;5;5;-99;-99;-99;-99;-99;-99;-99;-99
1203;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
1204;-99;-99;-99;-99;4;3;3;4;-99;-99;-99;-99
1205;5;5;5;5;-99;-99;-99;-99;-99;-99;-99;-99
1206;5;3;5;2;-99;-99;-99;-99;-99;-99;-99;-99
1207;4;4;4;3;5;3;3;3;-99;-99;-99;-99
1208;-99;-99;-99;-99;5;5;5;5;-99;-99;-99;-99
1209;2;2;2;4;-99;-99;-99;-99;-99;-99;-99;-99
1210;3;4;4;3;3;4;4;4;-99;-99;-99;-99
1211;3;3;4;2;-99;-99;-99;-99;-99;-99;-99;-99
1212;3;3;3;3;3;2;2;2;-99;-99;-99;-99
1213;-99;-99;-99;-99;4;4;4;4;-99;-99;-99;-99
1214;3;4;4;5;-99;-99;-99;-99;-99;-99;-99;-99
1215;3;3;3;1;-99;-99;-99;-99;-99;-99;-99;-99
1216;5;5;5;4;-99;-99;-99;-99;-99;-99;-99;-99
1217;-99;-99;-99;-99;4;4;4;4;-99;-99;-99;-99
1218;5;5;5;5;-99;-99;-99;-99;-99;-99;-99;-99
