ID;nece1;nece7;nece13;nece19;nece1_2;nece7_2;nece13_2;nece19_2;nece1_3;nece7_3;nece13_3;nece19_3
173;5;4;5;5;5;-99;4;5;4;3;5;3
174;4;4;4;4;4;4;4;4;4;5;5;5
175;4;-99;4;4;5;5;5;4;4;4;5;5
176;5;4;4;4;3;3;3;3;3;3;3;3
177;5;4;5;5;4;5;5;5;4;4;5;5
178;5;5;5;3;5;5;4;5;4;4;4;5
179;4;2;3;2;5;4;4;5;5;5;5;5
180;1;3;3;3;4;4;4;3;3;4;4;4
181;-99;-99;-99;-99;4;3;3;3;4;4;3;4
182;-99;-99;-99;-99;4;4;4;4;4;3;3;4
183;4;3;3;4;4;5;5;4;4;5;-99;5
184;5;5;5;5;2;3;3;2;3;3;3;3
185;3;4;3;3;3;4;4;3;5;5;4;4
186;4;4;3;2;4;4;4;3;3;3;3;-99
187;5;5;5;5;3;4;4;4;3;4;4;3
188;4;3;3;1;4;2;3;3;4;5;4;4
189;5;5;5;5;4;3;3;3;3;3;3;3
190;5;5;5;5;4;5;5;3;2;4;2;3
191;4;5;4;5;5;4;4;1;1;5;4;3
192;5;5;5;5;2;5;4;3;1;2;4;4
193;5;5;4;5;5;4;4;3;4;4;4;3
194;3;5;4;2;3;5;5;-99;5;5;5;5
195;3;3;3;5;5;5;5;5;5;5;5;5
196;4;3;3;3;3;5;3;5;3;3;4;5
197;5;4;4;4;4;3;4;3;3;1;3;3
198;-99;-99;-99;-99;4;4;4;3;4;4;4;3
199;3;2;2;3;2;5;3;3;5;1;5;1
200;-99;5;5;5;5;4;5;4;5;5;5;5
201;-99;-99;-99;-99;5;3;4;4;5;5;5;3
202;3;3;3;3;3;3;3;3;4;3;3;3
203;3;4;3;5;3;2;3;3;3;2;3;3
204;3;3;3;3;1;3;4;4;3;3;4;2
205;4;5;5;2;4;4;4;3;3;4;3;4
206;5;1;3;3;4;2;3;3;4;3;3;4
207;5;5;4;5;3;3;3;1;4;3;3;1
208;5;5;4;5;4;4;2;4;4;4;3;3
209;5;5;5;5;5;5;5;5;4;-99;5;3
210;5;5;5;5;-99;-99;-99;-99;5;5;5;5
211;3;3;3;3;4;4;-99;3;4;3;3;3
212;5;5;5;4;4;4;4;3;3;3;3;4
213;-99;-99;-99;-99;-99;-99;-99;-99;5;5;4;5
214;4;3;3;4;5;5;5;5;5;5;5;5
215;4;4;3;4;5;5;5;5;5;5;5;5
216;4;4;4;3;5;5;5;4;4;3;4;5
217;-99;-99;-99;-99;5;4;5;5;5;5;5;5
218;4;4;3;4;5;5;5;5;5;5;5;5
219;3;3;4;2;2;5;4;5;4;4;5;5
220;4;3;5;2;4;4;4;3;3;3;4;3
221;3;5;4;5;3;3;3;4;3;4;4;3
222;5;5;5;5;5;5;5;4;5;4;4;3
223;4;2;4;4;4;4;4;3;4;4;4;2
224;4;5;5;2;4;2;4;1;3;4;5;5
225;5;3;3;3;4;2;3;3;4;3;3;3
226;3;4;4;3;3;2;3;3;3;3;3;3
227;3;4;3;1;-99;-99;-99;-99;5;5;5;5
228;-99;-99;-99;-99;5;5;5;4;4;5;5;5
229;5;5;5;4;5;4;4;-99;5;4;4;4
230;3;3;2;5;5;5;5;4;5;5;5;5
231;3;3;3;4;3;3;3;3;3;3;3;3
232;5;5;5;5;5;5;5;5;5;5;5;5
233;4;4;4;5;5;3;3;4;5;3;3;5
234;5;5;5;5;5;5;5;3;5;4;5;5
235;4;4;4;4;5;5;5;5;5;5;5;5
236;5;4;4;5;4;3;3;3;5;4;4;4
237;5;5;5;5;5;5;5;5;5;-99;5;5
238;5;-99;4;4;3;2;4;4;4;4;3;3
239;3;4;4;3;5;5;5;5;4;5;5;4
240;3;2;2;3;3;3;3;4;2;3;3;3
241;3;3;3;5;5;5;5;3;5;5;5;3
242;5;5;5;5;4;4;4;5;5;4;4;5
243;3;3;3;4;4;5;4;5;4;5;4;4
244;4;5;5;3;5;4;3;3;4;4;3;4
245;-99;-99;-99;-99;3;5;4;5;3;4;3;5
246;4;4;1;1;5;4;4;5;4;4;5;5
247;5;5;5;4;5;4;4;4;4;5;4;5
248;-99;-99;-99;-99;4;4;2;5;4;4;4;3
249;5;4;4;4;2;4;2;4;4;5;5;1
250;3;2;4;1;3;3;-99;3;1;2;3;1
251;4;5;4;4;3;3;3;4;3;3;2;3
252;5;5;5;5;3;3;3;3;3;3;3;2
253;5;3;5;4;5;5;5;5;5;5;5;5
254;5;5;3;5;5;5;5;5;5;5;5;5
255;5;3;1;5;4;3;3;3;5;4;4;4
256;-99;-99;-99;-99;4;4;4;3;3;4;3;4
257;4;5;4;3;4;3;5;5;5;5;5;5
258;3;5;4;4;4;3;3;4;4;4;4;3
259;5;5;5;3;5;5;5;5;5;5;5;5
260;5;5;5;5;3;3;4;3;5;4;5;3
261;4;4;4;3;4;5;4;5;3;3;3;3
262;4;3;5;4;5;5;5;5;5;4;5;5
263;4;4;4;4;4;4;4;4;4;4;4;3
264;-99;-99;-99;-99;3;4;3;3;3;3;3;1
265;5;4;4;2;4;4;4;4;5;4;4;4
266;5;5;5;5;5;2;2;4;3;3;3;-99
267;3;4;3;5;4;3;4;4;4;3;3;4
268;-99;-99;-99;-99;5;5;5;4;5;5;4;4
269;3;3;4;3;5;5;5;5;5;5;5;5
270;5;5;5;5;4;4;4;4;4;3;5;4
271;5;5;5;5;5;5;5;4;5;5;5;4
272;4;4;3;3;5;4;4;4;4;-99;3;3
273;4;5;5;3;4;4;4;4;3;3;3;3
274;3;3;4;5;3;3;3;4;5;5;5;5
275;3;4;5;5;5;5;4;4;4;5;4;4
276;1;4;3;2;3;2;4;5;4;3;3;3
277;3;3;3;4;3;5;5;3;3;5;5;3
278;5;4;5;5;3;3;5;3;4;4;4;4
279;4;5;5;5;-99;-99;-99;-99;4;4;4;4
280;-99;-99;-99;-99;4;3;4;4;4;3;3;4
281;3;5;5;5;1;5;5;5;5;5;5;5
282;5;5;4;3;5;5;5;5;4;3;3;3
283;3;4;1;4;4;3;3;3;4;3;3;3
284;4;4;4;4;5;5;3;5;3;3;3;3
285;5;5;5;5;-99;4;1;4;3;4;4;3
286;5;4;4;4;5;5;5;5;5;5;5;5
287;5;5;5;5;4;3;4;3;4;3;3;3
288;5;4;5;4;3;4;5;5;3;3;2;5
289;5;5;5;5;5;5;3;4;3;3;3;3
290;4;2;3;3;4;5;4;4;4;4;5;5
291;3;4;4;3;5;5;5;5;5;-99;5;5
292;5;4;5;5;-99;-99;-99;-99;3;5;5;5
293;-99;-99;-99;-99;5;3;3;3;5;3;3;5
294;5;5;5;5;3;3;3;4;4;3;3;4
295;-99;-99;-99;-99;-99;-99;-99;-99;4;3;4;5
296;5;5;5;5;3;3;3;5;-99;3;3;4
297;3;5;4;5;5;3;5;5;5;5;2;5
298;4;4;4;4;3;3;3;3;3;3;3;3
299;4;4;4;4;5;5;4;4;5;5;5;5
300;5;-99;3;3;4;2;3;5;3;3;3;4
301;3;2;4;3;3;3;4;3;4;3;3;3
302;3;4;4;4;4;3;3;3;3;3;4;4
303;5;5;5;5;5;4;5;5;3;3;3;5
304;4;4;4;5;-99;-99;-99;-99;4;3;5;4
305;4;4;4;3;5;4;5;5;5;5;5;5
306;5;3;3;3;5;4;4;5;4;4;3;5
307;5;4;3;4;3;2;3;4;2;3;3;4
308;-99;-99;-99;-99;4;5;4;4;5;5;5;5
309;5;5;5;3;4;4;4;4;5;4;3;5
310;4;5;5;4;3;3;3;3;5;3;3;3
311;-99;-99;-99;-99;-99;-99;-99;-99;4;4;4;4
312;5;2;5;3;5;5;5;5;5;5;5;4
313;5;5;5;5;5;5;5;3;5;5;5;5
314;4;4;4;3;3;3;3;3;4;3;3;3
315;5;4;4;4;-99;-99;-99;-99;5;5;3;4
316;-99;-99;-99;-99;5;5;5;5;5;4;4;4
317;5;3;4;5;5;5;5;5;5;5;4;5
318;4;3;4;3;5;4;4;4;5;4;4;5
319;4;4;5;4;4;3;4;3;4;3;3;4
320;4;4;4;3;4;4;5;4;-99;-99;-99;-99
321;4;3;3;4;5;2;5;5;1;1;1;2
322;-99;-99;-99;-99;5;3;1;3;4;4;4;4
323;-99;-99;-99;-99;5;4;3;5;4;4;4;5
324;-99;-99;-99;-99;5;3;4;5;3;3;3;3
325;5;3;3;4;5;4;5;1;5;5;5;5
326;3;3;5;6;4;4;4;3;5;5;4;4
327;5;5;5;5;4;3;3;3;3;3;3;3
328;4;5;4;5;3;3;3;3;4;3;4;3
329;5;3;4;3;5;4;5;4;4;3;4;4
330;5;1;4;3;5;4;5;5;2;5;5;5
331;-99;-99;-99;-99;3;3;4;3;4;3;3;3
332;4;4;5;5;3;2;3;4;3;2;4;5
333;-99;-99;-99;-99;4;3;3;3;2;2;2;2
334;4;4;4;3;5;5;4;5;4;4;4;4
335;2;3;3;3;5;4;5;4;5;4;5;5
336;-99;-99;-99;-99;5;4;4;3;4;3;5;5
337;4;5;4;4;5;3;3;3;3;5;4;4
338;4;5;5;4;-99;-99;-99;-99;5;3;5;5
339;2;2;2;4;5;3;4;5;5;4;2;3
340;3;5;4;3;-99;-99;-99;-99;3;4;4;4
341;4;3;2;3;-99;-99;-99;-99;5;5;5;5
342;3;4;3;4;4;4;4;3;4;4;4;4
343;5;5;5;5;4;4;4;4;5;4;4;5
344;5;5;5;5;5;4;5;4;5;5;5;5
345;-99;-99;-99;-99;3;4;4;3;3;5;5;5
346;-99;-99;-99;-99;5;4;4;4;3;3;5;5
347;5;5;5;4;4;4;5;4;4;2;3;4
348;4;5;5;5;5;5;5;5;5;5;5;4
349;5;4;4;3;5;5;5;4;5;5;5;5
350;5;4;4;4;4;4;5;4;5;4;5;4
351;1;3;3;3;4;3;5;4;4;4;4;4
352;5;1;5;5;-99;-99;-99;-99;5;5;5;5
353;5;3;5;3;5;3;5;5;5;5;5;4
354;3;3;3;4;2;3;3;3;3;3;3;2
355;5;2;3;1;5;5;5;5;4;5;5;5
356;3;3;4;4;3;4;3;3;3;3;3;4
357;-99;-99;-99;-99;3;5;5;5;4;5;4;5
358;1;5;5;1;-99;-99;-99;-99;5;5;2;2
359;5;4;4;4;2;4;2;4;4;3;3;4
360;4;4;4;5;3;5;5;5;5;3;5;3
361;4;4;4;5;1;2;2;3;1;-99;5;2
362;-99;-99;-99;-99;3;3;3;3;3;3;3;3
363;5;4;4;1;5;5;5;5;5;5;3;5
364;5;5;5;4;-99;-99;-99;-99;5;4;5;5
365;-99;-99;-99;-99;4;5;5;3;4;5;4;4
366;4;4;4;4;-99;-99;-99;-99;5;5;5;5
367;3;3;2;2;4;3;4;3;3;2;3;3
368;3;3;5;3;3;2;3;2;5;3;4;3
369;5;2;4;4;5;5;5;5;-99;5;5;5
370;4;4;4;4;4;3;3;4;4;4;4;3
371;3;2;3;3;3;3;3;4;5;5;5;5
372;-99;-99;-99;-99;-99;-99;-99;-99;5;5;5;5
373;4;3;3;5;4;4;3;4;3;2;3;3
374;5;5;5;5;5;5;5;3;5;3;3;3
375;3;3;3;3;5;5;5;5;5;4;4;4
